,country,crop,outlier_cnt,low_variance_cnt,outlier_pct,low_variance_pct
200013,Zambia,Cottonseed,4,0,0.6211180124223602,0.0
200032,Zambia,Cowpea,3,0,0.42857142857142855,0.0
200047,Zambia,Maize,19,4,0.7698541329011345,0.1620745542949757
200080,Zambia,Millet,8,0,0.6354249404289118,0.0
200095,Zambia,Potato,4,0,1.0526315789473684,0.0
200108,Zambia,Rice,3,0,0.2840909090909091,0.0
200118,Zambia,Sorghum,15,0,1.1078286558345642,0.0
200141,Zambia,Soybean,6,0,0.4702194357366771,0.0
200165,Zambia,Sunflower Seed,21,0,1.7691659646166806,0.0
200186,Zambia,Sweet Potatoes,13,0,1.0726072607260726,0.0
200204,Zambia,Velvet Bean,0,0,0.0,0.0
200206,Zambia,Wheat,0,0,0.0,0.0
201488,Zambia,Pineapple,0,0,0.0,0.0
201552,Zambia,Sugarcane,0,0,0.0,0.0
214167,Zimbabwe,Bambara groundnut,0,0,0.0,0.0
214168,Zimbabwe,Beans (Rosecoco),0,0,0.0,0.0
214180,Zimbabwe,Cassava,0,0,0.0,0.0
214182,Zimbabwe,Cowpea,0,0,0.0,0.0
214189,Zimbabwe,Groundnuts (In Shell),0,0,0.0,0.0
214221,Zimbabwe,Maize,0,0,0.0,0.0
214274,Zimbabwe,Millet,1,0,0.2949852507374631,0.0
214315,Zimbabwe,Rape,0,0,0.0,0.0
214322,Zimbabwe,Rice,0,0,0.0,0.0
214327,Zimbabwe,Sesame Seed,0,0,0.0,0.0
214332,Zimbabwe,Sorghum,0,0,0.0,0.0
214365,Zimbabwe,Soybean,0,0,0.0,0.0
214391,Zimbabwe,Sunflower Seed,0,0,0.0,0.0
214416,Zimbabwe,Sweet Potatoes,0,0,0.0,0.0
