,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
10,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,0.0,7218030.0,0.0,Sunflower Seed,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01445AA,"Sunflower, unspecified",Southern Africa,International,39868056,356127,366539,2499,838,crop:harvested,116610,29873,738,7708020,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01445AA / Sunflower Seed: Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
11,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-12-01,2024-12-31,Winter,Harvest,2024-04-01,Winter 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Oats (Unspecified),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01172AA,"Oats, grain, unspecified",Southern Africa,International,39868042,356124,366536,2499,838,crop:harvested,116610,29873,739,7708025,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01172AA / Oats (Unspecified): Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-12-31,"RSA Statistics Directorate database, South Africa",
12,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-12-01,2024-12-31,Winter,Harvest,2024-04-01,Winter 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Canola seed,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01446AB,"Oilseed, canola",Southern Africa,International,39868046,356124,366536,2499,838,crop:harvested,116610,29873,739,7708023,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01446AB / Canola seed: Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-12-31,"RSA Statistics Directorate database, South Africa",
13,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-12-01,2024-12-31,Winter,Harvest,2024-04-01,Winter 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Barley (Unspecified),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01152AA,"Barley grain, unspecified",Southern Africa,International,39868041,356124,366536,2499,838,crop:harvested,116610,29873,739,7708022,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01152AA / Barley (Unspecified): Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-12-31,"RSA Statistics Directorate database, South Africa",
14,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-12-01,2024-12-31,Winter,Harvest,2024-04-01,Winter 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Wheat Grain,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01112AA,"Wheat grain, other",Southern Africa,International,39868037,356124,366536,2499,838,crop:harvested,116610,29873,739,7708014,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01112AA / Wheat Grain: Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-12-31,"RSA Statistics Directorate database, South Africa",
15,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-04-01,2024-04-30,Summer,Harvest,2024-04-30,Summer 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,0.0,7218030.0,0.0,Soybean (unspecified),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01412AA,"Oilseed, Soybean",Southern Africa,International,39868043,356125,366537,2499,838,crop:harvested,116610,29873,738,7708019,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01412AA / Soybean (unspecified): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-04-30,"RSA Statistics Directorate database, South Africa",
16,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-04-01,2024-04-30,Summer,Harvest,2024-04-30,Summer 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Beans (mixed),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01701AA,Common bean family,Southern Africa,International,39868047,356125,366537,2499,838,crop:harvested,116610,29873,738,7708021,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01701AA / Beans (mixed): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-04-30,"RSA Statistics Directorate database, South Africa",
17,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-04-01,2024-04-30,Summer,Harvest,2024-04-30,Summer 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,0.0,7218030.0,0.0,Sorghum,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Southern Africa,International,39868040,356125,366537,2499,838,crop:harvested,116610,29873,738,7708018,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01142AA / Sorghum: Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-04-30,"RSA Statistics Directorate database, South Africa",
18,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-04-01,2024-04-30,Summer,Harvest,2024-04-30,Summer 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Maize Grain (White),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01122AC,"Maize grain (corn), other, white",Southern Africa,International,39868039,356125,366537,2499,838,crop:harvested,116610,29873,738,7708017,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01122AC / Maize Grain (White): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-04-30,"RSA Statistics Directorate database, South Africa",
19,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2024-04-01,2024-04-30,Summer,Harvest,2024-04-30,Summer 2024,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Maize Grain (Yellow),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01122AB,"Maize grain (corn), other, yellow",Southern Africa,International,39868038,356125,366537,2499,838,crop:harvested,116610,29873,738,7708016,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01122AB / Maize Grain (Yellow): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2024-04-30,"RSA Statistics Directorate database, South Africa",
