,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
56,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,,2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,285787.0,,Pea (unspecified),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015)",ha,hectare,R01705AA,Pisum sativum,Southern Africa,Southern Africa,34682733,328143,342476,6009,296,crop:harvested,8323,7192,722,7049263,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): R01705AA / Pea (unspecified): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:42,2024-12-27T13:40:02,2024-03-06T15:45:53,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
57,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,Foothills (PS),2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,285787.0,,Oats (Unspecified),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015): Foothills (PS)",ha,hectare,R01172AA,"Oats, grain, unspecified",Southern Africa,Southern Africa,34682470,328143,342476,6009,296,crop:harvested,118695,7192,722,7049179,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): Foothills (PS): R01172AA / Oats (Unspecified): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:33,2024-12-27T13:40:02,2024-03-06T15:45:48,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
58,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,,2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,1028.0,285787.0,0.0035970845419840652,Beans (mixed),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015)",ha,hectare,R01701AA,Common bean family,Southern Africa,Southern Africa,34682731,328143,342476,6009,296,crop:harvested,8323,7192,722,7049262,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): R01701AA / Beans (mixed): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:42,2024-12-27T13:40:02,2024-03-06T15:45:53,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
59,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,,2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,285787.0,,Oats (Unspecified),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015)",ha,hectare,R01172AA,"Oats, grain, unspecified",Southern Africa,Southern Africa,34682730,328143,342476,6009,296,crop:harvested,8323,7192,722,7049299,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): R01172AA / Oats (Unspecified): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:42,2024-12-27T13:40:02,2024-03-06T15:45:53,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
60,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,,2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,285787.0,,Barley (Unspecified),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015)",ha,hectare,R01152AA,"Barley grain, unspecified",Southern Africa,Southern Africa,34682729,328143,342476,6009,296,crop:harvested,8323,7192,722,7049298,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): R01152AA / Barley (Unspecified): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:42,2024-12-27T13:40:02,2024-03-06T15:45:53,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
61,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,Foothills (PS),2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,104.0,285787.0,0.00036390738557037235,Beans (mixed),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015): Foothills (PS)",ha,hectare,R01701AA,Common bean family,Southern Africa,Southern Africa,34682471,328143,342476,6009,296,crop:harvested,118695,7192,722,7049181,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): Foothills (PS): R01701AA / Beans (mixed): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:33,2024-12-27T13:40:02,2024-03-06T15:45:48,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
62,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,Foothills (PS),2021-01-01,2021-01-31,Summer,Harvest,2021-01-31,Summer 2021,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,285787.0,,Wheat Grain,LS,"Berea, Lesotho (01/01/1980 - 01/01/2015): Foothills (PS)",ha,hectare,R01112AA,"Wheat grain, other",Southern Africa,Southern Africa,34682463,328143,342476,6009,296,crop:harvested,118695,7192,722,7049176,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): Foothills (PS): R01112AA / Wheat Grain: Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:33,2024-12-27T13:40:02,2024-03-06T15:45:48,Published,2024-03-06T15:48:01,Ad Hoc,2021-01-31,"Agricultural Production Survey, Crops, 2020-2021, Lesotho",
63,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,Foothills (PS),2020-07-01,2020-07-31,Winter,Harvest,2020-07-31,Winter 2020,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,258486.0,,Barley (Unspecified),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015): Foothills (PS)",ha,hectare,R01152AA,"Barley grain, unspecified",Southern Africa,Southern Africa,34682391,328142,342475,6009,296,crop:harvested,118695,7192,723,7049178,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): Foothills (PS): R01152AA / Barley (Unspecified): Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:29,2024-12-27T13:40:02,2024-03-06T15:45:48,Published,2024-03-06T15:48:01,Ad Hoc,2020-07-31,"Agricultural Production Survey, Crops, 2019-2020, Lesotho",
64,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,Foothills (PS),2020-07-01,2020-07-31,Winter,Harvest,2020-07-31,Winter 2020,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Available,,258486.0,,Oats (Unspecified),LS,"Berea, Lesotho (01/01/1980 - 01/01/2015): Foothills (PS)",ha,hectare,R01172AA,"Oats, grain, unspecified",Southern Africa,Southern Africa,34682393,328142,342475,6009,296,crop:harvested,118695,7192,723,7049180,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): Foothills (PS): R01172AA / Oats (Unspecified): Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:29,2024-12-27T13:40:02,2024-03-06T15:45:48,Published,2024-03-06T15:48:01,Ad Hoc,2020-07-31,"Agricultural Production Survey, Crops, 2019-2020, Lesotho",
65,Lesotho,"Bureau of Statistics, Lesotho","Agricultural Production Survey Crops, Lesotho","Berea, Lesotho",Berea,LS1980A101,Lesotho,Berea,,,,,,2020-07-01,2020-07-31,Winter,Harvest,2020-07-31,Winter 2020,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,258486.0,,Wheat Grain,LS,"Berea, Lesotho (01/01/1980 - 01/01/2015)",ha,hectare,R01112AA,"Wheat grain, other",Southern Africa,Southern Africa,34682648,328142,342475,6009,296,crop:harvested,8323,7192,723,7049258,"Agricultural Production Survey Crops, Lesotho: Berea, Lesotho (From 01/01/1980): R01112AA / Wheat Grain: Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-03-06T15:42:39,2024-12-27T13:40:02,2024-03-06T15:45:53,Published,2024-03-06T15:48:01,Ad Hoc,2020-07-31,"Agricultural Production Survey, Crops, 2019-2020, Lesotho",
